id,日付,場所,標高_m,覆土深さ_m,覆土材質,密度_g_cm-3_推定,屋内_屋外,領域,データ数,測定時間_s,計数率_s-1,計数率_ch0除く_s-1,フラックス_s-1_cm-2,気圧_hPa,気温_C,開始時刻,live_s,real_s,dead_pct,ch0,ch0_cps,ch1_20,ch1_20_cps,ch21_149,ch21_149_cps,roi_lo,roi_hi,roi_peak,roi_auto_lo,roi_auto_hi,roi_counts,roi_cps,roi_bg_counts,roi_bg_cps,roi_net_counts,roi_net_cps,roi_net_cps_err,roi_net_valid,roi_warning,bg_mode,sb_lo,sb_hi,sb_lo_lo,sb_lo_hi,sb_hi_lo,sb_hi_hi,wall_lo,wall_hi,wall_peak,wall_e_lo_kev,wall_e_hi_kev,wall_net_cps,wall_net_cps_err,wall_net_valid,wall_warning,wall_bg_mode,peak_ch,装置,シリアル,ゲインGAIA,ボード温度_C,filename,メモ
D1_20260818_1552_kanri2f,2026-08-18,D1_20260818_1552_管理棟2階,30,,,,屋内,全スペクトル（未較正）,87283,1335.366,65.36260470912094,33.14671782867019,,,,08/18/2026 15:30:09,1335.366,1336.706,0.10024642666375261,43020,32.21588688045075,34082,25.522590810309683,9155,6.855798335437625,314,366,345,314,366,759.0,0.5683834993552329,88.33333333333331,0.06614915561226908,670.6666666666667,0.5022343437429639,0.021798511114426853,1,,sideband,299–313,367–381,299,313,367,381,86,366,345,191.0,764.0,0.6043855108404479,0.026464745093690012,1,,sideband_right,6,MCA8000D,1715,2,43,D1_20260818_1552_管理棟2階.mca,短時間。検出器 D1（SN 1715）。ch0はADCオーバーフロー。ROIは共通窓 314–366。
D1_20260818_1730_linac,2026-08-18,D1_20260818_1730_linac,30,,,,屋内,全スペクトル（未較正）,302171,4208.884,71.79361559976469,36.85038599305659,,,,08/18/2026 16:19:46,4208.884,4213.673,0.11365381224408555,147072,34.943229606708094,117111,27.82471553029259,37557,8.92326802069147,314,366,342,311,362,328.0,0.07793039675125282,38.86666666666667,0.009234435224792763,289.1333333333333,0.06869596152646006,0.004550793933228789,1,,sideband,299–313,367–381,299,313,367,381,85,366,342,191.0,764.0,0.10316437719635992,0.005770094003880594,1,,sideband_right,6,MCA8000D,1715,2,39,D1_20260818_1730_linac.mca,linac。検出器 D1（SN 1715）。ch0はADCオーバーフロー。ROIは共通窓。
d1_20260819_1520_kanri2f,2026-08-18〜08-19,d1_20260819_1520_管理棟2階,30,,,,屋内,全スペクトル（未較正）,289798,76826.197,3.7721247610369155,3.7721247610369155,,,,08/18/2026 17:59:38,76826.197,76834.189,0.01040161951861851,0,0.0,144276,1.8779531674592718,131257,1.7084927423909841,350,408,390,348,408,10734.0,0.13971796625570312,971.5333333333333,0.012645860022634379,9762.466666666667,0.12707210623306875,0.0014082711016250775,1,,sideband,335–349,409–423,335,349,409,423,97,408,390,191.0,764.0,0.20170784455127652,0.00162634891344863,1,,sideband_right,11,MCA8000D,2162,2,42,d1_20260819_1520_管理棟2階.mca,管理棟2階・約21 h。検出器 d1（SN 2162）。ポリエチレンの緩衝材なし。旧名の放射線棟2階は誤記。CPS差は d 検出器の応答。ch0なし。ROIは共通窓。
D1_20260819_0832_kanri2f,2026-08-18〜08-19,D1_20260819_0832_管理棟2階,30,,,,屋内,全スペクトル（未較正）,3490462,52246.972,66.80697208634406,33.89231819979921,,,,08/18/2026 18:00:44,52246.972,52300.335,0.10203185123001113,1719691,32.91465388654485,1355084,25.93612506386016,374121,7.160625499981128,314,366,343,314,366,31342.0,0.599881654385636,3464.433333333333,0.06630878691560026,27877.566666666666,0.5335728674700356,0.003570825566852014,1,,sideband,299–313,367–381,299,313,367,381,85,366,343,191.0,764.0,0.6497421911640261,0.00426578338064977,1,,sideband_right,6,MCA8000D,1715,2,42,D1_20260819_0832_管理棟2階.mca,終夜。検出器 D1（SN 1715）。ROIは共通窓。
D1_20260819_1344_kanri1f,2026-08-19,D1_20260819_1344_管理棟1階,30,,,,屋内,全スペクトル（未較正）,1131721,17482.328,64.735142825372,32.95333436141914,,,,08/19/2026 08:52:40,17482.328,17499.746,0.09953287321997628,555620,31.781808463952853,441144,25.23371029304564,124871,7.142698615424673,314,366,340,313,366,7558.0,0.4323222856818611,862.1333333333332,0.04931456115760631,6695.866666666667,0.3830077245242548,0.005248802362095381,1,,sideband,299–313,367–381,299,313,367,381,85,366,340,191.0,764.0,0.4772543588805398,0.00629635230117418,1,,sideband_right,6,MCA8000D,1715,2,40,D1_20260819_1344_管理棟1階.mca,検出器 D1（SN 1715）。ROIは共通窓。
D1_20260819_1530_ground,2026-08-19,D1_20260819_1530_地上,30,,,,屋外,全スペクトル（未較正）,203879,4748.053,42.93949541001333,21.83547656270897,,,,08/19/2026 14:11:03,4748.053,4751.059,0.06327010462299221,100203,21.10401884730436,83718,17.632069397708914,16914,3.5623022742164,314,366,340,313,365,2284.0,0.4810392807325445,227.89999999999998,0.0479986217508524,2056.1,0.4330406589816921,0.010555665390852306,1,,sideband,299–313,367–381,299,313,367,381,85,366,340,191.0,764.0,0.5412178496075674,0.012651263269814516,1,,sideband_right,6,MCA8000D,1715,2,45,D1_20260819_1530_地上.mca,地上。検出器 D1（SN 1715）。ROIは共通窓。
D1_20260819_1854_hoshasenBT,2026-08-19,D1_20260819_1854_放射線棟BT,30,,,,屋内,全スペクトル（未較正）,638144,9583.863,66.5852589921204,33.78011559639365,,,,08/19/2026 16:13:59,9583.863,9594.214,0.10788794162815973,314400,32.80514339572676,234985,24.518818768590496,87268,9.105722817615403,370,422,396,80,110,1093.0,0.11404587064735797,148.4,0.0154843615773723,944.6,0.09856150906998568,0.00367633664836075,1,peak=396 のため共通窓幅53chを 370-422 に中心移動,sideband,355–369,423–437,355,369,423,437,99,412,396,191.0,764.0,0.13679243954134154,0.004594606341159927,1,平坦部背景に切替（ピーク上端・側帯不可）,plateau,6,MCA8000D,1715,2,41,D1_20260819_1854_放射線棟BT.mca,放射線棟 BT。検出器 D1（SN 1715）。ROIは共通窓。
d2_20260819_1859_hoshasenBT,2026-08-19,d2_20260819_1859_放射線棟BT,30,,,,屋内,全スペクトル（未較正）,30344,9540.474,3.1805547606963764,3.1805547606963764,,,,08/19/2026 16:20:15,9540.474,9541.275,0.008395104427860733,0,0.0,15543,1.6291643371178413,14639,1.53441013517777,350,408,391,364,410,131.0,0.013730973953705025,9.833333333333332,0.0010306965181534305,121.16666666666667,0.012700277435551596,0.0012438922929068933,1,,sideband,335–349,409–423,335,349,409,423,97,408,391,191.0,764.0,0.020544052633024314,0.001467432330930308,1,,sideband_right,11,MCA8000D,2162,2,39,d2_20260819_1859_放射線棟BT.mca,放射線棟 BT。検出器 d2（SN 2162）。CPS差は d 検出器の応答。ROIは共通窓。
D1_20260820_0807_PF,2026-08-19〜08-20,D1_20260820_0807_PF,30,,,,屋内,全スペクトル（未較正）,2102896,45702.849,46.01236128627342,23.07101248764601,,,,08/19/2026 19:25:06,45702.849,45741.269,0.08399417165273482,1048485,22.94134879862741,646685,14.149774339013307,393858,8.617799734979322,362,414,388,358,415,10425.0,0.2281039416164187,1254.3333333333333,0.027445407907356785,9170.666666666666,0.2006585337090619,0.0023646439271170034,1,"アンプD/d取り違え補正: rebin×1.6033 (peak 242→388, 参照=D2_20260822_115234_PF.mca); peak=388 のため共通窓幅53chを 362-414 に中心移動",sideband,347–361,415–429,347,361,415,429,97,404,388,191.0,764.0,0.2350400518794791,0.002896002865663952,1,"アンプD/d取り違え補正: rebin×1.6033 (peak 242→388, 参照=D2_20260822_115234_PF.mca); 平坦部背景に切替（ピーク上端・側帯不可）",plateau,8,MCA8000D,1715,2,39,D1_20260820_0807_PF.mca,PF 終夜。検出器 D1（SN 1715）。8/20 アンプD/d取り違え→D2@PF参照でrebin補正後に解析。
D1_20260820_1939_KEKB,2026-08-20,D1_20260820_1939_KEKB,30,,,,屋内,全スペクトル（未較正）,2059427,39007.479,52.795695922825466,26.82308692648402,,,,08/20/2026 08:48:21,39007.479,39040.98,0.08580983366709427,1013126,25.972608996341446,752954,19.302811135269728,289856,7.4307801332149666,359,411,385,80,111,2922.0,0.0749087117370492,229.66666666666663,0.005887759797721525,2692.3333333333335,0.06902095193932767,0.001439203663607703,1,peak=385 のため共通窓幅53chを 359-411 に中心移動,sideband,344–358,412–426,344,358,412,426,96,401,385,191.0,764.0,0.08377880559776754,0.0017181931782995808,1,平坦部背景に切替（ピーク上端・側帯不可）,plateau,6,MCA8000D,1715,,,D1_20260820_1939_KEKB.mca,raw/ から自動検出。ROIはシリアル別共通窓。
